,club_position,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle
1357,ST,Medium/Medium,70.0,75.0,48.0,68.0,28.0,78.0,36,80,78,58,75,68,57,36,35,69,66,73,64,75,64,78,77,71,82,64,77,17,72,52,74,70,27,24,19
1358,LCB,Medium/High,65.0,39.0,45.0,54.0,75.0,78.0,31,39,73,64,26,48,25,27,51,56,63,67,60,69,57,48,89,73,81,37,74,78,32,33,31,65,74,76,75
1359,RW,High/Low,86.0,72.0,68.0,75.0,48.0,70.0,70,77,68,67,65,72,64,66,64,75,88,85,87,68,81,69,66,81,66,68,68,47,71,70,62,72,43,48,45
1360,LCB,Medium/Medium,66.0,56.0,59.0,63.0,74.0,77.0,56,54,75,68,47,62,52,41,68,67,63,68,57,68,58,63,80,74,77,57,82,76,62,47,45,59,70,77,74
1361,LS,High/Medium,82.0,74.0,58.0,75.0,34.0,68.0,62,76,65,66,60,76,59,40,54,75,81,83,78,67,79,79,68,69,76,69,48,45,75,48,66,70,39,17,14
1362,LCB,Medium/Medium,77.0,50.0,66.0,65.0,73.0,79.0,58,38,72,71,41,63,68,60,71,66,75,78,68,72,64,80,82,75,80,49,82,74,48,64,45,74,73,74,73
1363,CB,Medium/Medium,71.0,36.0,57.0,64.0,75.0,75.0,42,29,77,75,29,60,39,30,70,69,67,74,66,68,57,55,74,69,78,31,74,72,33,43,47,64,74,77,72
1364,RS,Medium/Medium,83.0,73.0,69.0,74.0,37.0,63.0,72,72,52,69,77,73,69,66,64,72,84,82,89,71,75,77,59,76,60,69,53,29,78,72,63,63,34,41,37
1365,RCM,Medium/Medium,77.0,67.0,68.0,77.0,48.0,70.0,65,68,34,68,58,78,63,65,65,78,79,75,77,70,78,72,78,80,68,64,62,43,70,73,55,72,49,55,47
1366,RCM,High/Medium,71.0,71.0,74.0,76.0,61.0,67.0,73,70,62,76,67,76,68,65,74,76,75,67,76,76,77,71,71,76,62,74,68,61,72,74,70,74,62,61,60
1367,LCM,High/Medium,69.0,68.0,74.0,74.0,43.0,63.0,70,69,60,76,52,75,66,70,73,74,69,69,70,75,72,68,50,67,64,67,57,24,74,77,66,73,36,55,51
1368,LB,High/Medium,78.0,60.0,63.0,69.0,70.0,75.0,70,57,62,67,50,72,69,49,56,63,80,76,74,66,77,75,66,87,73,55,69,70,62,56,51,69,67,75,74
1369,RB,High/Medium,77.0,52.0,62.0,64.0,73.0,80.0,70,50,75,70,23,64,52,30,58,65,81,74,64,66,66,75,81,77,82,40,78,75,68,52,40,62,70,75,73
1370,LCM,Medium/Medium,62.0,61.0,71.0,71.0,74.0,69.0,65,64,63,77,42,67,62,44,73,74,65,59,72,78,72,58,77,76,65,66,66,76,72,74,43,80,75,76,71
1371,RCM,High/Medium,76.0,69.0,71.0,74.0,69.0,75.0,59,60,45,77,51,73,74,75,73,77,74,78,73,73,76,82,67,80,74,81,75,72,65,70,65,68,70,75,64
1372,ST,High/Low,78.0,74.0,62.0,69.0,25.0,77.0,65,77,78,64,75,66,65,36,58,68,77,79,78,75,65,75,91,75,80,65,68,19,78,62,75,72,21,15,21
1373,RCB,High/High,67.0,58.0,64.0,67.0,73.0,84.0,51,56,75,72,51,66,55,51,67,69,65,68,60,71,65,58,61,79,85,63,91,73,66,66,50,70,71,73,73
1374,ST,High/Low,77.0,74.0,63.0,77.0,26.0,53.0,43,76,69,77,65,77,62,60,52,79,82,73,77,74,85,71,60,62,51,71,45,18,77,67,76,69,21,23,21
1375,CAM,Medium/Medium,70.0,64.0,74.0,75.0,56.0,59.0,68,63,55,77,47,77,70,66,73,77,70,70,72,71,66,72,64,63,61,65,47,50,71,77,55,73,60,57,52
1376,RS,High/Medium,74.0,74.0,53.0,70.0,24.0,75.0,49,77,73,64,68,73,59,36,41,71,70,78,59,69,56,77,77,67,86,68,57,15,73,47,65,66,18,23,18
1377,RCB,Medium/High,60.0,29.0,54.0,62.0,75.0,77.0,31,25,72,70,24,58,35,23,59,71,58,62,52,65,45,42,75,68,84,25,70,75,33,57,33,73,75,77,71
1378,CAM,Medium/Medium,50.0,72.0,79.0,72.0,52.0,66.0,78,68,46,80,69,71,81,75,80,74,56,45,71,71,77,75,68,70,66,76,58,58,69,80,80,75,50,54,50
1379,LCM,Medium/High,35.0,71.0,68.0,69.0,72.0,77.0,55,73,58,73,53,65,52,63,72,72,38,32,67,77,71,80,76,78,77,67,74,78,69,75,60,76,69,77,70
1380,LCM,Medium/Medium,54.0,52.0,69.0,72.0,70.0,69.0,65,50,52,73,49,70,67,61,70,73,58,51,70,75,76,56,71,74,62,52,79,75,60,69,55,76,72,71,70
1381,LCB,High/Medium,55.0,52.0,58.0,57.0,71.0,80.0,47,42,76,67,50,54,53,30,66,58,61,50,61,73,45,74,80,70,82,52,85,71,56,54,44,75,69,72,72
1382,LCB,Medium/Medium,34.0,63.0,68.0,66.0,72.0,74.0,68,60,80,72,60,65,52,48,71,69,34,34,58,70,61,74,84,68,74,58,80,75,60,66,75,76,73,68,70
1383,CF,High/Medium,85.0,71.0,66.0,76.0,43.0,64.0,65,72,65,68,66,78,67,62,61,72,86,85,83,69,81,75,57,80,62,65,53,45,73,68,70,72,34,42,46
1384,RCB,Low/High,44.0,61.0,65.0,67.0,72.0,79.0,47,57,78,76,59,64,55,44,72,72,42,46,61,73,50,79,90,72,81,54,78,69,60,65,61,78,72,71,70
1385,LCB,Medium/High,39.0,31.0,60.0,63.0,74.0,77.0,62,25,72,69,26,61,39,23,67,67,36,41,55,66,61,47,75,65,83,26,77,74,51,53,24,66,76,72,72
1386,RCB,Low/Medium,38.0,39.0,49.0,53.0,78.0,66.0,30,24,71,60,22,46,34,30,66,60,34,42,45,70,60,68,74,54,67,48,76,81,25,42,48,75,80,78,74
1387,LB,Medium/Medium,71.0,57.0,68.0,69.0,70.0,72.0,72,41,64,70,40,68,77,77,66,72,70,72,71,71,66,75,77,81,64,74,78,68,68,58,63,66,72,72,68
1388,RS,High/Medium,72.0,73.0,70.0,74.0,29.0,70.0,68,74,73,73,65,72,63,68,66,75,73,71,78,72,86,73,92,73,63,71,76,37,74,71,71,70,21,19,20
1389,LDM,Medium/Medium,32.0,67.0,77.0,70.0,70.0,66.0,75,60,64,79,77,69,82,80,78,72,31,32,63,70,72,80,72,69,66,72,60,69,65,72,49,73,73,71,68
1390,RCB,High/High,65.0,41.0,60.0,61.0,74.0,75.0,61,29,70,66,38,57,45,47,58,64,64,66,66,70,70,62,90,74,74,50,75,75,49,56,30,58,75,75,68
1391,LB,High/Medium,66.0,75.0,73.0,74.0,70.0,59.0,75,71,55,73,75,72,76,73,70,76,67,66,75,69,77,77,69,58,54,83,72,71,73,74,72,72,71,72,71
1392,LCB,Low/Medium,51.0,32.0,46.0,56.0,75.0,71.0,45,22,74,50,22,55,38,24,58,55,48,53,56,64,56,60,78,43,81,28,78,76,35,38,38,66,77,74,73
1393,RCM,Medium/Medium,45.0,69.0,77.0,69.0,63.0,72.0,71,62,62,78,61,66,76,76,82,76,51,40,64,65,60,80,69,68,73,73,74,62,65,78,74,72,61,68,61
1394,LS,Medium/High,65.0,72.0,71.0,76.0,33.0,68.0,63,72,72,76,71,76,68,65,68,77,64,66,69,75,76,72,73,69,72,68,57,25,73,76,78,76,36,27,19
1395,RCM,Medium/Medium,67.0,70.0,72.0,71.0,71.0,72.0,68,69,60,74,59,69,58,67,71,71,71,64,71,75,75,72,69,76,71,72,71,71,70,76,64,72,75,72,71
1396,LM,High/Medium,66.0,68.0,75.0,73.0,48.0,66.0,74,66,54,75,73,73,74,72,72,75,64,67,75,70,74,70,71,65,66,70,67,42,74,79,61,66,66,37,35
1397,CM,Medium/High,37.0,58.0,69.0,68.0,71.0,75.0,63,53,61,73,58,65,60,62,70,70,42,32,74,64,75,63,84,83,69,66,79,71,59,69,57,70,73,73,69
1398,CDM,Medium/Medium,60.0,64.0,75.0,76.0,57.0,56.0,73,56,42,75,72,71,76,71,79,76,68,53,91,72,92,73,64,83,32,70,79,60,62,77,71,71,60,56,55
1399,RDM,Medium/High,63.0,58.0,66.0,65.0,70.0,84.0,60,55,83,73,43,62,40,47,71,68,61,65,68,72,52,64,79,78,87,62,84,71,70,67,52,70,67,69,67
1400,RS,High/Low,75.0,74.0,66.0,73.0,39.0,70.0,65,74,69,68,69,74,63,66,63,72,76,74,73,71,70,75,65,82,69,76,59,36,74,68,68,68,38,36,26
1401,LS,High/High,71.0,72.0,67.0,72.0,42.0,66.0,69,75,75,66,68,72,61,62,64,72,66,75,72,70,61,76,79,50,70,63,75,32,74,70,68,75,43,38,33
1402,RM,Medium/High,72.0,68.0,73.0,76.0,44.0,61.0,72,69,39,74,55,75,73,71,73,74,70,74,85,64,91,68,34,67,56,70,74,43,70,73,67,69,42,48,42
1403,RCB,Medium/High,45.0,29.0,41.0,48.0,74.0,79.0,30,22,80,53,20,43,20,27,50,54,44,45,49,74,33,52,80,64,85,18,80,73,28,31,47,53,74,73,73
1404,ST,High/Medium,74.0,71.0,60.0,67.0,55.0,81.0,63,73,79,66,65,66,59,36,44,69,71,77,69,70,60,75,89,80,81,61,78,57,76,66,75,66,44,58,55
1405,LW,Medium/Medium,71.0,69.0,74.0,74.0,58.0,70.0,73,62,70,75,66,76,76,71,74,78,68,73,63,68,54,78,70,69,77,73,56,61,74,75,68,72,50,61,57
1406,RB,High/Medium,67.0,66.0,69.0,73.0,70.0,71.0,72,57,69,73,53,71,64,60,67,79,69,66,73,71,65,79,74,74,70,80,68,69,67,63,59,68,67,73,73
1407,RDM,Medium/High,59.0,63.0,65.0,68.0,71.0,86.0,66,58,61,68,46,69,51,32,67,68,61,58,66,70,52,74,69,84,90,68,82,74,64,68,54,71,73,71,71
1408,RCM,High/Medium,56.0,62.0,68.0,69.0,70.0,77.0,65,56,66,72,60,66,68,58,70,73,61,52,65,73,69,72,69,77,76,68,79,70,58,63,57,78,72,71,65
1409,LB,High/Medium,67.0,37.0,68.0,60.0,73.0,77.0,73,26,70,74,30,55,59,34,71,65,68,67,65,70,50,47,82,72,81,43,74,73,62,62,49,65,73,73,73
1410,RCB,Medium/High,42.0,39.0,48.0,50.0,73.0,84.0,36,26,76,56,35,39,47,43,56,57,38,45,58,66,58,50,82,74,92,57,76,70,34,42,46,67,74,74,72
1411,RCB,Low/High,36.0,32.0,45.0,53.0,72.0,79.0,29,27,77,63,17,49,35,26,63,59,34,37,32,70,50,57,75,62,86,20,85,71,24,23,39,75,71,71,71
1412,RCB,Medium/High,73.0,57.0,62.0,66.0,72.0,72.0,70,58,68,64,51,66,48,52,60,69,70,75,62,67,54,60,75,73,72,54,72,75,65,58,52,62,73,72,70
1413,RDM,High/High,65.0,68.0,73.0,76.0,69.0,67.0,67,60,58,79,65,78,75,72,75,76,62,67,71,66,76,82,55,65,65,73,79,74,66,69,74,75,65,74,67
1414,LCB,Low/High,73.0,50.0,65.0,65.0,72.0,80.0,59,46,68,72,37,60,66,51,67,68,77,69,70,70,73,60,86,80,80,57,78,71,39,58,45,65,68,78,74
1415,RB,High/Medium,68.0,60.0,70.0,71.0,70.0,70.0,72,52,65,73,43,70,67,66,64,72,67,68,71,72,69,72,64,75,69,68,69,68,65,68,55,72,71,73,71
1416,RCM,High/High,63.0,65.0,71.0,72.0,67.0,74.0,67,60,71,80,65,70,55,54,71,73,61,64,72,78,70,74,85,85,66,65,76,76,71,69,64,76,69,61,54
1417,RB,Medium/Medium,72.0,62.0,71.0,71.0,72.0,62.0,72,57,54,71,43,72,78,75,73,72,73,71,70,71,74,72,70,65,56,69,70,74,71,66,52,63,74,73,72
1418,LDM,Medium/Medium,63.0,65.0,77.0,73.0,68.0,65.0,74,63,57,78,70,68,82,66,80,77,61,64,81,67,68,72,61,60,66,62,70,69,68,76,66,81,68,73,57
1419,RCB,Medium/High,52.0,41.0,51.0,63.0,74.0,71.0,36,34,74,63,56,60,38,33,52,66,52,52,64,72,57,50,82,64,75,41,66,73,42,50,54,68,73,77,74
1420,RCB,Medium/Medium,55.0,50.0,64.0,65.0,71.0,83.0,49,31,76,72,59,68,54,44,68,69,54,55,48,67,49,69,70,79,88,67,81,72,58,70,54,67,69,72,70
1421,LM,Medium/Medium,83.0,64.0,68.0,75.0,57.0,57.0,69,60,50,71,51,73,72,61,62,74,85,82,85,65,90,74,76,78,43,61,59,57,73,68,67,70,58,59,57
1422,ST,Medium/High,32.0,75.0,68.0,72.0,37.0,66.0,57,76,77,74,71,74,60,59,59,79,30,33,49,76,50,76,51,56,81,71,47,28,79,78,72,78,27,46,13
1423,RS,High/High,63.0,73.0,61.0,61.0,39.0,81.0,46,74,80,69,72,59,56,45,60,67,51,73,41,76,43,78,71,67,91,65,78,29,76,70,80,78,45,32,24
1424,ST,High/High,75.0,72.0,66.0,73.0,37.0,75.0,61,73,70,72,66,74,66,58,60,72,74,76,76,73,64,72,77,75,80,70,60,37,75,66,72,70,34,35,22
1425,LWB,High/Medium,71.0,61.0,66.0,71.0,68.0,69.0,71,60,43,70,52,70,50,47,69,70,72,71,79,67,75,60,66,86,64,68,61,70,69,62,43,68,70,73,70
1426,RCB,Medium/High,63.0,30.0,56.0,54.0,74.0,79.0,45,28,73,67,17,40,59,25,65,66,59,66,65,66,55,42,76,77,88,23,62,69,25,48,50,75,78,74,70
1427,CB,Medium/Medium,49.0,29.0,51.0,53.0,73.0,81.0,46,22,76,51,18,53,49,35,59,52,46,52,50,71,49,54,83,72,86,23,78,77,23,53,25,58,69,73,71
1428,ST,Medium/Medium,45.0,75.0,61.0,65.0,38.0,76.0,52,72,79,69,74,62,68,46,54,75,38,51,61,74,33,84,58,65,90,71,61,23,76,65,72,70,44,32,24
1429,RCB,Medium/Medium,59.0,53.0,57.0,57.0,72.0,77.0,40,38,78,63,34,59,43,66,65,56,52,65,50,67,33,84,58,53,90,65,80,70,46,58,39,70,71,73,72
1430,ST,High/Medium,71.0,74.0,62.0,67.0,34.0,69.0,66,76,72,70,73,64,74,70,42,72,73,69,64,74,65,74,71,72,73,70,55,29,75,53,70,65,27,35,22
1431,RDM,High/Medium,73.0,68.0,68.0,73.0,71.0,82.0,58,67,62,74,54,74,61,46,73,76,69,76,63,73,67,78,65,85,83,67,79,71,69,69,62,69,68,76,72
1432,CB,Medium/Medium,57.0,46.0,54.0,56.0,71.0,80.0,22,32,75,70,23,56,27,55,74,59,61,54,51,61,46,72,85,71,84,66,78,73,38,51,27,54,63,76,74
1433,LCM,Medium/High,54.0,49.0,64.0,67.0,71.0,75.0,45,41,66,74,40,65,55,43,72,70,55,54,64,71,64,65,71,76,75,50,73,74,59,67,50,74,71,72,71
1434,ST,Medium/Low,51.0,75.0,62.0,68.0,35.0,80.0,44,75,79,70,81,73,76,56,55,74,43,58,48,68,33,76,65,65,92,72,71,27,76,68,78,66,24,39,29
1435,LCM,High/Medium,67.0,70.0,75.0,73.0,42.0,59.0,75,71,48,77,64,74,63,70,76,72,65,68,74,70,79,76,68,53,63,65,55,53,75,73,62,64,26,49,40
1436,RB,High/High,74.0,52.0,66.0,69.0,68.0,77.0,72,51,35,69,64,68,62,42,64,69,67,79,71,74,67,52,58,92,72,50,77,70,69,65,35,72,74,71,68
1437,RCB,Medium/High,50.0,47.0,67.0,69.0,68.0,78.0,53,39,68,77,38,64,51,49,74,75,51,50,72,75,70,49,83,84,76,57,72,70,52,66,69,69,67,68,64
1438,RB,High/Medium,84.0,56.0,64.0,69.0,67.0,73.0,67,50,60,68,56,68,60,50,62,70,83,85,73,68,72,64,69,84,68,60,71,67,60,60,50,69,66,69,68
1439,ST,Medium/Medium,65.0,73.0,70.0,71.0,39.0,74.0,64,73,74,74,69,72,69,62,65,73,67,64,64,73,51,76,73,70,80,74,65,31,75,73,68,76,39,36,24
1440,LW,High/Low,82.0,70.0,73.0,75.0,32.0,56.0,74,68,43,73,64,75,76,75,72,75,78,86,85,67,82,76,72,71,53,73,39,37,64,73,60,61,38,24,20
1441,LCM,Medium/Medium,63.0,66.0,74.0,74.0,66.0,64.0,73,63,45,77,63,72,72,60,74,75,65,62,75,73,77,74,64,75,58,67,63,65,66,72,63,74,67,71,69
1442,RDM,Medium/Medium,72.0,68.0,73.0,69.0,58.0,72.0,62,65,54,76,64,67,68,78,77,70,71,73,76,69,74,72,67,85,67,75,70,63,69,78,63,68,58,59,49
1443,RWB,High/Medium,77.0,47.0,63.0,71.0,67.0,73.0,70,50,55,69,33,70,54,37,58,70,78,76,78,69,73,46,82,81,67,44,74,67,58,60,45,64,67,71,70
1444,LS,Medium/Medium,71.0,75.0,60.0,69.0,27.0,68.0,59,73,68,67,75,66,62,65,45,72,70,71,69,70,74,87,75,52,71,70,78,20,75,58,74,70,22,27,15
1445,RB,Medium/Medium,75.0,34.0,63.0,69.0,70.0,74.0,71,23,63,64,35,68,71,39,66,70,74,75,73,70,68,60,91,78,71,26,72,69,59,56,41,65,69,72,71
1446,ST,Medium/Medium,71.0,73.0,57.0,69.0,33.0,74.0,51,75,72,63,65,67,61,55,43,71,69,73,71,73,68,76,80,65,80,64,67,32,76,61,76,74,42,16,19
1447,LDM,Medium/Medium,38.0,67.0,72.0,70.0,71.0,73.0,64,58,59,74,55,70,76,71,72,73,44,33,62,75,60,81,40,73,70,72,87,76,75,74,69,69,73,73,62
1448,LWB,Medium/High,77.0,51.0,62.0,70.0,68.0,78.0,68,42,62,67,37,69,52,58,57,71,75,79,70,69,73,79,81,82,77,45,74,67,56,53,55,70,68,71,70
1449,RW,High/Medium,75.0,70.0,73.0,72.0,39.0,66.0,69,71,69,76,67,71,75,60,73,75,76,74,72,67,73,70,65,70,66,69,60,44,75,73,71,66,31,36,35
1450,LDM,Medium/High,66.0,56.0,68.0,75.0,70.0,78.0,58,49,77,75,53,75,59,51,71,81,69,63,71,62,67,69,85,86,72,57,79,66,57,69,57,75,71,71,69
1451,RM,Medium/Medium,68.0,74.0,70.0,73.0,39.0,66.0,69,74,73,73,74,70,69,69,64,74,66,69,88,76,70,74,84,76,62,72,61,44,75,72,75,69,45,24,18
1452,LDM,Medium/Medium,70.0,56.0,65.0,68.0,72.0,75.0,54,54,62,73,46,64,53,48,69,72,69,71,74,67,65,63,78,80,73,60,74,74,55,68,45,69,69,76,72
1453,CAM,High/Low,49.0,79.0,80.0,72.0,60.0,73.0,83,79,59,76,72,73,87,82,80,78,42,54,57,68,42,85,50,73,77,74,67,60,72,81,82,82,62,62,52
1454,CDM,High/Medium,35.0,61.0,65.0,66.0,70.0,83.0,44,57,66,75,39,66,58,62,71,67,37,34,62,66,63,67,72,88,83,63,81,70,56,65,84,64,69,71,69
1455,LCM,Medium/Medium,66.0,60.0,71.0,68.0,70.0,67.0,64,59,45,74,42,67,59,66,72,68,69,64,69,70,70,68,57,74,68,58,59,77,69,75,53,72,70,74,67
1456,LDM,High/Medium,69.0,59.0,69.0,72.0,67.0,70.0,53,56,51,78,61,70,58,45,75,72,68,70,83,66,83,62,47,78,65,64,80,63,63,75,47,72,65,74,72
1457,LCB,Medium/Medium,68.0,26.0,53.0,54.0,74.0,67.0,37,24,70,68,28,44,27,27,70,61,65,70,56,70,68,35,86,56,69,22,72,72,20,43,35,66,74,78,74
1458,RCB,High/High,51.0,33.0,35.0,44.0,76.0,70.0,22,35,75,50,37,25,31,18,45,58,49,52,53,68,55,40,78,50,80,25,68,75,22,17,34,69,76,77,75
1459,LM,Medium/Medium,84.0,63.0,69.0,74.0,29.0,56.0,72,63,46,71,60,74,68,60,65,71,84,84,86,70,86,65,74,63,53,57,52,29,72,67,72,67,25,29,28
1460,LCB,Medium/Medium,56.0,62.0,56.0,62.0,75.0,66.0,46,56,73,68,70,59,46,25,70,65,53,59,56,72,66,75,69,56,68,69,75,76,36,46,51,67,76,75,73
1461,LB,Medium/Medium,72.0,65.0,73.0,73.0,70.0,72.0,80,59,65,70,53,74,78,63,71,75,72,72,65,70,74,78,71,63,78,73,70,68,67,73,46,69,71,71,69
1462,LB,High/High,78.0,71.0,69.0,70.0,66.0,75.0,72,68,64,72,61,69,63,64,64,71,79,77,78,73,73,79,85,92,63,73,83,65,65,67,69,60,64,68,65
1463,CAM,Medium/Medium,88.0,75.0,66.0,75.0,48.0,65.0,63,78,65,68,73,73,72,69,60,70,91,86,91,71,91,75,84,75,57,73,70,56,76,68,60,73,48,40,37
1464,ST,Medium/Medium,79.0,73.0,65.0,74.0,32.0,61.0,69,76,63,66,62,75,57,55,52,74,77,80,79,74,68,74,47,65,66,69,46,25,74,73,61,68,42,21,21
1465,CAM,Medium/Medium,58.0,68.0,77.0,69.0,63.0,71.0,75,58,63,75,76,70,81,78,78,73,63,53,53,68,62,78,68,73,69,78,76,68,66,79,68,74,63,61,56
1466,RB,High/Medium,68.0,62.0,72.0,79.0,68.0,67.0,73,63,66,75,59,79,69,52,67,79,76,61,83,73,80,58,70,73,63,61,69,71,72,75,58,77,67,68,71
1467,LB,High/High,72.0,57.0,69.0,67.0,69.0,75.0,71,47,59,69,54,67,73,67,68,65,70,74,72,69,72,75,73,89,69,65,72,71,57,67,44,68,69,71,69
1468,LB,High/Medium,73.0,57.0,71.0,72.0,67.0,74.0,75,42,41,71,61,72,76,74,68,74,70,75,73,69,73,73,77,86,71,69,67,71,71,66,56,65,68,70,71
1469,RCB,Medium/Medium,75.0,48.0,46.0,62.0,72.0,80.0,34,42,78,58,24,64,27,21,55,64,69,80,56,71,35,61,82,79,82,59,75,69,52,43,32,68,74,71,70
1470,RB,High/Medium,80.0,53.0,62.0,71.0,68.0,75.0,63,52,59,65,41,71,62,42,55,71,79,81,77,68,67,57,82,80,69,51,80,67,65,64,49,68,67,72,73
1471,LS,High/Low,79.0,74.0,70.0,73.0,42.0,71.0,73,73,69,67,66,73,57,68,75,69,79,79,78,80,68,80,68,75,71,70,66,47,73,73,74,80,36,42,20
1472,RS,Medium/Medium,68.0,71.0,58.0,68.0,28.0,79.0,43,76,74,67,67,68,54,48,51,70,65,70,62,73,49,71,78,78,89,65,56,22,76,65,56,72,24,23,20
1473,LCB,High/Medium,47.0,28.0,49.0,56.0,76.0,72.0,32,23,76,61,25,57,26,19,65,58,43,50,42,64,37,34,32,50,85,27,75,75,28,44,62,70,78,75,74
1474,CAM,High/Medium,88.0,73.0,70.0,75.0,32.0,65.0,72,74,54,70,70,72,71,66,71,72,93,83,93,68,85,72,89,72,57,70,71,30,77,70,74,74,50,13,16
1475,LDM,Medium/High,56.0,63.0,65.0,71.0,70.0,78.0,51,65,52,71,48,69,50,61,68,72,54,58,77,63,83,67,70,87,72,62,82,69,67,69,52,67,75,73,69
1476,RS,Medium/Low,73.0,73.0,65.0,74.0,27.0,65.0,59,74,68,70,71,76,75,53,53,74,77,69,74,69,67,75,70,71,69,73,45,17,74,70,62,66,22,28,17
1477,LCB,Low/High,33.0,34.0,51.0,54.0,74.0,81.0,38,22,75,63,28,51,29,33,65,61,33,33,35,72,38,59,74,75,85,38,82,73,31,43,35,70,75,75,68
1478,LCM,Medium/Medium,56.0,62.0,71.0,68.0,69.0,76.0,68,61,65,74,43,67,65,67,71,70,58,54,67,68,73,68,73,92,68,66,76,70,51,71,70,64,69,71,68
1479,LM,High/Medium,83.0,68.0,68.0,73.0,58.0,73.0,74,69,53,65,63,72,71,73,62,72,82,83,80,68,76,68,80,83,70,67,66,59,72,68,65,67,58,59,55
1480,LDM,Medium/Medium,71.0,61.0,69.0,69.0,68.0,80.0,60,56,72,78,46,67,57,47,72,74,71,71,60,72,72,68,70,90,74,71,84,72,62,70,56,70,62,73,63
1481,RCB,High/Medium,79.0,44.0,60.0,67.0,74.0,76.0,65,31,70,68,37,66,49,59,62,65,78,79,72,69,71,66,89,77,76,54,73,75,34,40,48,69,70,77,74
1482,CM,Medium/Medium,62.0,57.0,68.0,69.0,73.0,74.0,64,55,69,73,51,67,64,64,72,72,61,62,65,70,69,63,68,76,74,57,72,74,62,64,60,72,76,72,69
1483,LCB,Medium/Medium,60.0,32.0,54.0,55.0,74.0,74.0,40,31,73,67,23,43,28,26,65,63,58,61,66,73,62,45,86,66,77,24,72,71,31,49,28,69,76,77,66
1484,RCB,Medium/Medium,59.0,33.0,51.0,56.0,73.0,68.0,34,30,74,66,32,46,30,28,56,64,62,57,57,73,56,53,85,34,81,22,74,75,25,49,40,72,76,71,69
1485,LWB,High/Medium,72.0,63.0,72.0,70.0,68.0,72.0,77,56,69,69,59,70,75,69,72,72,69,74,72,68,67,74,82,82,68,66,67,66,65,70,65,68,66,71,70
1486,RCM,Medium/Medium,71.0,67.0,72.0,77.0,49.0,55.0,72,65,62,74,63,75,75,66,64,76,75,67,86,73,86,68,53,60,48,73,68,54,70,73,55,76,41,50,49
1487,RCB,Medium/High,33.0,41.0,54.0,58.0,75.0,77.0,40,43,77,68,27,53,27,31,62,66,34,33,55,70,37,45,82,70,84,39,66,70,42,49,34,64,75,77,72
1488,LB,Medium/High,71.0,42.0,66.0,69.0,72.0,68.0,69,35,59,73,31,67,65,60,62,71,68,74,69,69,72,55,69,70,68,45,65,73,49,55,35,71,74,75,70
1489,LM,High/Medium,86.0,72.0,67.0,75.0,39.0,73.0,71,71,64,65,65,76,74,57,60,76,85,86,76,66,76,79,55,74,75,68,71,37,72,71,70,59,25,46,36
1490,RCB,Low/Medium,31.0,59.0,51.0,53.0,72.0,81.0,37,58,76,67,43,49,57,50,55,64,31,31,32,65,30,68,77,65,90,58,79,67,62,34,42,66,73,73,70
1491,LM,High/Medium,84.0,71.0,67.0,74.0,47.0,69.0,63,69,68,68,74,74,63,61,69,73,83,85,80,70,73,74,78,68,72,70,58,40,74,70,67,64,40,51,48
1492,ST,High/High,85.0,71.0,52.0,68.0,44.0,79.0,41,73,66,60,68,70,60,30,45,67,81,88,76,70,50,77,86,91,79,62,62,37,80,59,68,64,39,50,30
1493,RCB,Medium/Medium,49.0,47.0,51.0,54.0,75.0,76.0,40,48,77,60,46,49,37,32,63,59,46,51,48,67,48,56,74,64,83,40,75,73,35,46,37,68,76,76,72
1494,RDM,Medium/Medium,72.0,71.0,73.0,74.0,73.0,73.0,71,69,64,74,64,73,73,74,72,74,71,73,78,71,74,76,80,68,75,72,74,73,69,74,79,76,72,77,68
1495,LCB,Low/High,58.0,31.0,51.0,60.0,72.0,80.0,28,31,73,69,25,57,25,22,65,68,55,60,54,65,53,42,78,75,82,18,82,71,30,45,36,60,71,72,71
1496,LCB,Low/Medium,69.0,39.0,59.0,63.0,75.0,73.0,61,36,72,71,43,60,44,40,68,66,68,69,65,70,62,42,80,65,79,39,65,72,37,37,48,71,79,74,72
1497,LCB,Medium/Medium,57.0,43.0,61.0,61.0,75.0,69.0,52,47,69,73,47,56,42,42,70,70,60,54,55,67,61,36,72,60,74,39,69,74,49,52,44,62,77,76,75
1498,RCB,Low/Medium,61.0,32.0,45.0,44.0,76.0,77.0,37,23,76,55,26,37,25,26,52,50,54,67,32,67,55,53,69,66,84,33,76,75,30,41,40,69,76,76,73
1499,CB,Medium/High,52.0,43.0,56.0,56.0,72.0,81.0,57,38,71,64,41,48,55,44,64,66,51,52,43,76,53,55,82,76,83,43,84,70,51,38,38,69,74,72,70
1500,CAM,High/High,79.0,69.0,71.0,74.0,53.0,68.0,64,67,64,73,63,74,69,67,71,75,81,78,74,69,68,75,70,73,71,72,54,59,70,75,55,80,50,52,42
